RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =         3289     M =           10

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
   22   24     0     0  con    0  1.0D+00  4.2D-02  7.888D-05  5.212D-01
   23   25     0     0  con    0  1.0D+00  1.1D-01  1.464D-04  5.212D-01
   24   26     0     0  con    0  1.0D+00  6.4D-02  4.712D-04  5.212D-01
   25   27     0     0  con    0  1.0D+00  2.7D-02  3.593D-04  5.212D-01
   26   28     0     0  con    0  1.0D+00  1.9D-01  5.131D-04  5.211D-01
   27   29     0     0  con    0  1.0D+00  4.1D-01  7.032D-04  5.210D-01
   28   30     0     0  con    0  1.0D+00  9.2D-01  9.588D-04  5.208D-01
   29   31     0     0  con    0  1.0D+00  1.8D+00  1.156D-03  5.203D-01
   30   32     0     0  con    0  1.0D+00  2.5D+00  1.788D-03  5.202D-01
   31   33     0     0  con    0  1.0D+00  8.9D-01  7.155D-04  5.197D-01
   32   34     0     0  con    0  1.0D+00  8.7D-01  4.531D-04  5.195D-01
   33   35     0     0  con    0  1.0D+00  3.2D-01  6.985D-04  5.195D-01
   34   36     0     0  con    0  1.0D+00  1.6D-01  7.500D-05  5.195D-01
   35   38     0     0  con    1  5.0D+00  9.2D-02  9.643D-05  5.195D-01
   36   39     0     0  con    0  1.0D+00  1.9D-01  2.102D-04  5.195D-01
   37   40     0     0  con    0  1.0D+00  3.8D-01  3.114D-04  5.194D-01
   38   41     0     0  con    0  1.0D+00  5.5D-01  6.110D-04  5.194D-01
   39   42     0     0  con    0  1.0D+00  4.1D-01  4.907D-04  5.193D-01
   40   43     0     0  con    0  1.0D+00  5.1D-01  5.557D-04  5.192D-01
   41   44     0     0  con    0  1.0D+00  4.7D-01  5.474D-04  5.191D-01
   42   45     0     0  con    0  1.0D+00  6.3D-01  7.537D-04  5.190D-01
   43   46     0     0  con    0  1.0D+00  1.4D+00  1.387D-03  5.185D-01
   44   47     0     0  con    0  1.0D+00  3.5D+00  2.552D-03  5.175D-01
   45   48     0     0  con    0  1.0D+00  5.1D+00  3.782D-03  5.164D-01
   46   49     0     0  con    0  1.0D+00  1.8D+00  3.477D-03  5.148D-01
   47   50     0     0  con    0  1.0D+00  2.4D+00  2.755D-03  5.131D-01
   48   51     0     0  con    0  1.0D+00  2.3D+00  2.237D-03  5.128D-01
   49   52     0     0  con    0  1.0D+00  6.0D-01  1.228D-03  5.123D-01
   50   53     0     0  con    0  1.0D+00  6.5D-01  3.717D-04  5.122D-01
   51   54     0     0  con    0  1.0D+00  5.0D-01  2.611D-04  5.122D-01
   52   55     0     0  con    0  1.0D+00  1.4D-01  1.766D-04  5.121D-01
   53   56     0     0  con    0  1.0D+00  2.2D-01  1.678D-04  5.121D-01
   54   57     0     0  con    0  1.0D+00  1.8D-01  5.529D-04  5.120D-01
   55   58     0     0  con    0  1.0D+00  3.2D-01  1.117D-03  5.119D-01
   56   59     0     0  con    0  1.0D+00  5.7D-01  1.907D-03  5.117D-01
   57   60     0     0  con    0  1.0D+00  1.1D+00  2.707D-03  5.113D-01
   58   61     0     0  con    0  1.0D+00  3.1D+00  4.246D-03  5.109D-01
   59   62     0     0  con    0  1.0D+00  4.4D-01  3.258D-03  5.092D-01
   60   63     0     0  con    0  1.0D+00  1.5D+00  1.492D-03  5.077D-01
   61   64     0     0  con    0  1.0D+00  2.1D+00  9.832D-04  5.069D-01
   62   66     0     0  con    1  2.3D-01  3.7D-01  1.015D-03  5.067D-01
   63   67     0     0  con    0  1.0D+00  3.4D-01  1.266D-03  5.065D-01
   64   68     0     0  con    0  1.0D+00  5.6D-01  1.228D-03  5.063D-01
   65   69     0     0  con    0  1.0D+00  5.7D-01  1.041D-03  5.062D-01
   66   70     0     0  con    0  1.0D+00  5.0D-01  6.588D-04  5.061D-01
   67   71     0     0  con    0  1.0D+00  5.0D-01  6.353D-04  5.059D-01
   68   72     0     0  con    0  1.0D+00  2.1D-01  5.332D-04  5.058D-01
   69   73     0     0  con    0  1.0D+00  2.8D-01  6.379D-04  5.057D-01
   70   74     0     0  con    0  1.0D+00  4.0D-01  9.030D-04  5.055D-01
   71   75     0     0  con    0  1.0D+00  5.9D-01  1.434D-03  5.054D-01
   72   76     0     0  con    0  1.0D+00  1.8D-01  1.314D-03  5.051D-01
   73   77     0     0  con    0  1.0D+00  1.1D+00  2.339D-03  5.039D-01
   74   78     0     0  con    0  1.0D+00  1.6D+00  3.839D-03  5.025D-01
   75   79     0     0  con    0  1.0D+00  3.6D+00  4.877D-03  5.002D-01
   76   81     0     0  con    1  1.7D-01  4.5D-01  3.075D-03  4.999D-01
   77   82     0     0  con    0  1.0D+00  1.3D+00  2.065D-03  4.986D-01
   78   83     0     0  con    0  1.0D+00  7.6D-01  1.253D-03  4.978D-01
   79   84     0     0  con    0  1.0D+00  3.1D-01  9.782D-04  4.977D-01
   80   85     0     0  con    0  1.0D+00  3.7D-01  9.706D-04  4.974D-01
   81   86     0     0  con    0  1.0D+00  1.1D+00  1.886D-03  4.967D-01
   82   88     0     0  con    1  3.6D-01  6.6D-01  2.017D-03  4.964D-01
   83   89     0     0  con    0  1.0D+00  7.8D-01  1.649D-03  4.960D-01
   84   90     0     0  con    0  1.0D+00  6.8D-01  1.263D-03  4.957D-01
   85   91     0     0  con    0  1.0D+00  4.8D-01  9.449D-04  4.956D-01
   86   92     0     0  con    0  1.0D+00  1.2D-01  5.266D-04  4.954D-01
   87   93     0     0  con    0  1.0D+00  4.7D-01  6.767D-04  4.952D-01
   88   94     0     0  con    0  1.0D+00  5.8D-01  1.063D-03  4.950D-01
   89   95     0     0  con    0  1.0D+00  1.3D+00  1.463D-03  4.947D-01
   90   96     0     0  con    0  1.0D+00  7.6D-01  1.111D-03  4.943D-01
   91   97     0     0  con    0  1.0D+00  6.5D-01  5.738D-04  4.940D-01
   92   98     0     0  con    0  1.0D+00  4.9D-01  9.201D-04  4.939D-01
   93   99     0     0  con    0  1.0D+00  1.2D-01  6.073D-04  4.939D-01
   94  100     0     0  con    0  1.0D+00  6.1D-02  4.878D-04  4.938D-01
   95  101     0     0  con    0  1.0D+00  2.6D-01  5.363D-04  4.937D-01
   96  102     0     0  con    0  1.0D+00  3.3D-01  8.616D-04  4.936D-01
   97  103     0     0  con    0  1.0D+00  5.8D-01  1.354D-03  4.934D-01
   98  104     0     0  con    0  1.0D+00  2.7D-01  1.097D-03  4.933D-01
   99  105     0     0  con    0  1.0D+00  7.6D-02  7.595D-04  4.932D-01
  100  106     0     0  con    0  1.0D+00  1.5D-01  6.882D-04  4.931D-01
  101  107     0     0  con    0  1.0D+00  4.2D-01  1.259D-03  4.929D-01
  102  108     0     0  con    0  1.0D+00  5.4D-01  1.774D-03  4.927D-01
  103  109     0     0  con    0  1.0D+00  8.9D-01  1.661D-03  4.923D-01
  104  110     0     0  con    0  1.0D+00  1.2D+00  1.638D-03  4.921D-01
  105  111     0     0  con    0  1.0D+00  1.5D-01  8.132D-04  4.917D-01
  106  112     0     0  con    0  1.0D+00  1.7D-01  5.081D-04  4.916D-01
  107  113     0     0  con    0  1.0D+00  3.9D-01  9.475D-04  4.913D-01
  108  114     0     0  con    0  1.0D+00  5.7D-01  1.471D-03  4.910D-01
  109  115     0     0  con    0  1.0D+00  1.3D+00  3.267D-03  4.906D-01
  110  116     0     0  con    0  1.0D+00  9.9D-01  3.548D-03  4.900D-01
  111  117     0     0  con    0  1.0D+00  1.2D+00  2.955D-03  4.891D-01
  112  118     0     0  con    0  1.0D+00  1.7D+00  1.638D-03  4.883D-01
  113  119     0     0  con    0  1.0D+00  1.5D+00  2.280D-03  4.882D-01
  114  120     0     0  con    0  1.0D+00  4.9D-01  7.604D-04  4.877D-01
  115  121     0     0  con    0  1.0D+00  1.1D-01  4.719D-04  4.877D-01
  116  122     0     0  con    0  1.0D+00  1.4D-01  2.662D-04  4.876D-01
  117  123     0     0  con    0  1.0D+00  1.3D-01  4.220D-04  4.876D-01
  118  124     0     0  con    0  1.0D+00  1.2D-01  4.400D-04  4.876D-01
  119  125     0     0  con    0  1.0D+00  1.1D+00  1.053D-03  4.872D-01
  120  126     0     0  con    0  1.0D+00  1.4D+00  1.974D-03  4.869D-01
  121  127     0     0  con    0  1.0D+00  5.2D-01  1.353D-03  4.865D-01
  122  128     0     0  con    0  1.0D+00  9.2D-01  1.399D-03  4.861D-01
  123  129     0     0  con    0  1.0D+00  6.0D-01  1.326D-03  4.859D-01
  124  130     0     0  con    0  1.0D+00  1.0D+00  1.133D-03  4.857D-01
  125  131     0     0  con    0  1.0D+00  1.3D-01  8.520D-04  4.856D-01
  126  132     0     0  con    0  1.0D+00  1.8D-01  6.395D-04  4.855D-01
  127  133     0     0  con    0  1.0D+00  3.5D-01  4.953D-04  4.854D-01
  128  134     0     0  con    0  1.0D+00  5.3D-01  6.714D-04  4.853D-01
  129  135     0     0  con    0  1.0D+00  2.6D-01  4.116D-04  4.853D-01
  130  136     0     0  con    0  1.0D+00  2.8D-01  2.159D-04  4.852D-01
  131  137     0     0  con    0  1.0D+00  1.1D-01  2.460D-04  4.852D-01
  132  138     0     0  con    0  1.0D+00  1.6D-01  4.622D-04  4.851D-01
  133  139     0     0  con    0  1.0D+00  4.9D-01  9.898D-04  4.850D-01
  134  140     0     0  con    0  1.0D+00  7.2D-01  1.359D-03  4.848D-01
  135  141     0     0  con    0  1.0D+00  3.6D-01  1.251D-03  4.846D-01
  136  142     0     0  con    0  1.0D+00  9.1D-01  9.677D-04  4.841D-01
  137  143     0     0  con    0  1.0D+00  7.1D-01  1.159D-03  4.836D-01
  138  144     0     0  con    0  1.0D+00  1.6D+00  1.559D-03  4.829D-01
  139  145     0     0  con    0  1.0D+00  2.2D+00  2.263D-03  4.823D-01
  140  146     0     0  con    0  1.0D+00  1.7D+00  1.593D-03  4.818D-01
  141  147     0     0  con    0  1.0D+00  3.8D-01  1.009D-03  4.816D-01
  142  148     0     0  con    0  1.0D+00  3.8D-01  4.966D-04  4.815D-01
  143  149     0     0  con    0  1.0D+00  2.6D-01  2.037D-04  4.815D-01
  144  150     0     0  con    0  1.0D+00  2.2D-01  2.107D-04  4.814D-01
  145  151     0     0  con    0  1.0D+00  1.5D-01  2.881D-04  4.814D-01
  146  152     0     0  con    0  1.0D+00  8.3D-02  3.300D-04  4.814D-01
  147  153     0     0  con    0  1.0D+00  4.9D-01  4.628D-04  4.813D-01
  148  154     0     0  con    0  1.0D+00  6.5D-01  1.367D-03  4.811D-01
  149  155     0     0  con    0  1.0D+00  7.2D-01  8.199D-04  4.809D-01
  150  156     0     0  con    0  1.0D+00  3.5D-01  3.970D-04  4.808D-01
  151  157     0     0  con    0  1.0D+00  2.5D-01  4.680D-04  4.808D-01
  152  158     0     0  con    0  1.0D+00  1.3D-01  4.037D-04  4.807D-01
  153  159     0     0  con    0  1.0D+00  2.5D-01  3.411D-04  4.807D-01
  154  160     0     0  con    0  1.0D+00  3.0D-01  1.068D-03  4.807D-01
  155  161     0     0  con    0  1.0D+00  6.8D-02  3.626D-04  4.806D-01
  156  162     0     0  con    0  1.0D+00  6.6D-02  3.661D-04  4.806D-01
  157  163     0     0  con    0  1.0D+00  1.6D-01  3.857D-04  4.805D-01
  158  164     0     0  con    0  1.0D+00  2.7D-01  6.258D-04  4.805D-01
  159  165     0     0  con    0  1.0D+00  5.0D-01  9.942D-04  4.803D-01
  160  166     0     0  con    0  1.0D+00  9.9D-01  1.037D-03  4.803D-01
  161  167     0     0  con    0  1.0D+00  5.1D-02  5.764D-04  4.802D-01
  162  168     0     0  con    0  1.0D+00  1.0D-01  2.492D-04  4.801D-01
  163  169     0     0  con    0  1.0D+00  7.7D-02  2.469D-04  4.801D-01
  164  170     0     0  con    0  1.0D+00  1.0D-01  3.152D-04  4.801D-01
  165  171     0     0  con    0  1.0D+00  1.8D-01  6.973D-04  4.800D-01
  166  172     0     0  con    0  1.0D+00  3.9D-01  1.155D-03  4.799D-01
  167  173     0     0  con    0  1.0D+00  1.1D+00  2.055D-03  4.797D-01
  168  174     0     0  con    0  1.0D+00  7.5D-01  2.081D-03  4.794D-01
  169  175     0     0  con    0  1.0D+00  9.6D-01  1.450D-03  4.790D-01
  170  176     0     0  con    0  1.0D+00  1.2D+00  1.314D-03  4.788D-01
  171  177     0     0  con    0  1.0D+00  4.7D-01  6.241D-04  4.786D-01
  172  178     0     0  con    0  1.0D+00  2.3D-01  5.099D-04  4.786D-01
  173  179     0     0  con    0  1.0D+00  3.9D-01  6.687D-04  4.785D-01
  174  180     0     0  con    0  1.0D+00  5.3D-01  8.081D-04  4.784D-01
  175  181     0     0  con    0  1.0D+00  2.5D-01  3.638D-04  4.783D-01
  176  182     0     0  con    0  1.0D+00  2.2D-01  3.261D-04  4.783D-01
  177  183     0     0  con    0  1.0D+00  1.2D-01  4.470D-04  4.783D-01
  178  184     0     0  con    0  1.0D+00  3.1D-01  5.810D-04  4.782D-01
  179  185     0     0  con    0  1.0D+00  6.8D-01  9.858D-04  4.781D-01
  180  186     0     0  con    0  1.0D+00  7.2D-01  1.120D-03  4.779D-01
  181  187     0     0  con    0  1.0D+00  4.8D-01  8.795D-04  4.777D-01
  182  188     0     0  con    0  1.0D+00  7.0D-01  1.011D-03  4.776D-01
  183  189     0     0  con    0  1.0D+00  1.6D-01  7.578D-04  4.775D-01
  184  190     0     0  con    0  1.0D+00  5.4D-02  4.770D-04  4.775D-01
  185  191     0     0  con    0  1.0D+00  1.7D-01  4.710D-04  4.774D-01
  186  192     0     0  con    0  1.0D+00  2.1D-01  5.616D-04  4.774D-01
  187  193     0     0  con    0  1.0D+00  9.7D-02  4.941D-04  4.774D-01
  188  194     0     0  con    0  1.0D+00  5.2D-01  2.902D-04  4.772D-01
  189  195     0     0  con    0  1.0D+00  2.8D-01  3.412D-04  4.772D-01
  190  196     0     0  con    0  1.0D+00  4.8D-01  6.080D-04  4.771D-01
  191  197     0     0  con    0  1.0D+00  1.0D-01  4.605D-04  4.771D-01
  192  198     0     0  con    0  1.0D+00  1.7D-01  2.231D-04  4.771D-01
  193  199     0     0  con    0  1.0D+00  2.2D-01  3.194D-04  4.770D-01
  194  201     0     0  con    1  5.0D-01  9.6D-02  4.021D-04  4.770D-01
  195  202     0     0  con    0  1.0D+00  1.0D-01  5.319D-04  4.770D-01
  196  203     0     0  con    0  1.0D+00  2.2D-01  7.622D-04  4.769D-01
  197  204     0     0  con    0  1.0D+00  4.3D-01  1.021D-03  4.768D-01
  198  205     0     0  con    0  1.0D+00  1.0D+00  1.472D-03  4.764D-01
  199  206     0     0  con    0  1.0D+00  2.3D+00  2.528D-03  4.760D-01
  200  207     0     0  con    0  1.0D+00  1.6D+00  1.987D-03  4.754D-01
  201  208     0     0  con    0  1.0D+00  1.4D+00  1.416D-03  4.748D-01
  202  209     0     0  con    0  1.0D+00  7.5D-01  1.326D-03  4.744D-01
  203  210     0     0  con    0  1.0D+00  8.4D-01  1.545D-03  4.741D-01
  204  211     0     0  con    0  1.0D+00  1.0D+00  1.620D-03  4.738D-01
  205  212     0     0  con    0  1.0D+00  4.1D-01  7.151D-04  4.736D-01
  206  213     0     0  con    0  1.0D+00  2.1D-01  4.241D-04  4.735D-01
  207  214     0     0  con    0  1.0D+00  1.8D-01  2.404D-04  4.735D-01
  208  215     0     0  con    0  1.0D+00  2.0D-01  5.340D-04  4.735D-01
  209  216     0     0  con    0  1.0D+00  7.5D-02  2.762D-04  4.735D-01
  210  217     0     0  con    0  1.0D+00  9.6D-02  2.202D-04  4.735D-01
  211  218     0     0  con    0  1.0D+00  1.9D-01  3.817D-04  4.734D-01
  212  219     0     0  con    0  1.0D+00  2.7D-01  4.589D-04  4.734D-01
  213  220     0     0  con    0  1.0D+00  6.2D-01  1.209D-03  4.733D-01
  214  221     0     0  con    0  1.0D+00  1.4D-01  5.070D-04  4.732D-01
  215  222     0     0  con    0  1.0D+00  3.2D-01  6.157D-04  4.731D-01
  216  223     0     0  con    0  1.0D+00  4.2D-01  9.840D-04  4.729D-01
  217  224     0     0  con    0  1.0D+00  1.1D+00  1.609D-03  4.727D-01
  218  225     0     0  con    0  1.0D+00  1.8D+00  1.953D-03  4.724D-01
  219  226     0     0  con    0  1.0D+00  1.3D+00  1.547D-03  4.721D-01
  220  227     0     0  con    0  1.0D+00  1.8D+00  1.467D-03  4.719D-01
  221  228     0     0  con    0  1.0D+00  4.7D-01  5.820D-04  4.717D-01
  222  229     0     0  con    0  1.0D+00  2.0D-01  3.308D-04  4.717D-01
  223  230     0     0  con    0  1.0D+00  2.1D-01  5.238D-04  4.716D-01
  224  231     0     0  con    0  1.0D+00  3.0D-01  8.776D-04  4.716D-01
  225  232     0     0  con    0  1.0D+00  2.3D-01  7.836D-04  4.715D-01
  226  233     0     0  con    0  1.0D+00  1.0D+00  4.851D-04  4.713D-01
  227  234     0     0  con    0  1.0D+00  9.0D-01  9.826D-04  4.711D-01
  228  235     0     0  con    0  1.0D+00  7.3D-01  8.194D-04  4.708D-01
  229  236     0     0  con    0  1.0D+00  7.1D-01  6.413D-04  4.706D-01
  230  237     0     0  con    0  1.0D+00  4.7D-01  2.688D-04  4.706D-01
  231  238     0     0  con    0  1.0D+00  7.2D-02  2.308D-04  4.706D-01
  232  239     0     0  con    0  1.0D+00  7.9D-02  2.860D-04  4.705D-01
  233  240     0     0  con    0  1.0D+00  1.6D-01  5.536D-04  4.705D-01
  234  241     0     0  con    0  1.0D+00  2.6D-01  7.642D-04  4.704D-01
  235  242     0     0  con    0  1.0D+00  5.6D-01  1.159D-03  4.704D-01
  236  243     0     0  con    0  1.0D+00  3.8D-01  6.441D-04  4.703D-01
  237  244     0     0  con    0  1.0D+00  3.9D-01  4.137D-04  4.702D-01
  238  245     0     0  con    0  1.0D+00  3.7D-01  3.329D-04  4.702D-01
  239  246     0     0  con    0  1.0D+00  3.4D-01  3.803D-04  4.701D-01
  240  247     0     0  con    0  1.0D+00  6.6D-01  3.523D-04  4.701D-01
  241  248     0     0  con    0  1.0D+00  1.5D-01  2.837D-04  4.701D-01
  242  249     0     0  con    0  1.0D+00  4.1D-02  2.360D-04  4.701D-01
  243  250     0     0  con    0  1.0D+00  1.2D-01  2.802D-04  4.701D-01
  244  251     0     0  con    0  1.0D+00  2.8D-01  3.799D-04  4.700D-01
  245  252     0     0  con    0  1.0D+00  5.5D-01  5.814D-04  4.700D-01
  246  253     0     0  con    0  1.0D+00  5.5D-01  7.046D-04  4.699D-01
  247  254     0     0  con    0  1.0D+00  4.2D-01  7.494D-04  4.698D-01
  248  255     0     0  con    0  1.0D+00  3.4D-01  8.857D-04  4.697D-01
  249  256     0     0  con    0  1.0D+00  3.1D-01  8.425D-04  4.697D-01
  250  257     0     0  con    0  1.0D+00  3.3D-01  8.339D-04  4.696D-01
  251  258     0     0  con    0  1.0D+00  4.4D-01  4.735D-04  4.695D-01
  252  259     0     0  con    0  1.0D+00  1.3D-01  3.450D-04  4.694D-01
  253  260     0     0  con    0  1.0D+00  2.7D-01  3.563D-04  4.693D-01
  254  261     0     0  con    0  1.0D+00  1.2D+00  1.093D-03  4.691D-01
  255  263     0     0  con    1  4.1D-01  6.3D-01  1.240D-03  4.690D-01
  256  264     0     0  con    0  1.0D+00  8.5D-01  1.033D-03  4.688D-01
  257  265     0     0  con    0  1.0D+00  8.6D-01  5.394D-04  4.687D-01
  258  266     0     0  con    0  1.0D+00  1.4D-01  4.527D-04  4.687D-01
  259  267     0     0  con    0  1.0D+00  1.7D-01  1.778D-04  4.687D-01
  260  268     0     0  con    0  1.0D+00  2.3D-01  3.784D-04  4.687D-01
  261  269     0     0  con    0  1.0D+00  2.5D-01  6.301D-04  4.686D-01
  262  270     0     0  con    0  1.0D+00  4.8D-01  7.956D-04  4.685D-01
  263  271     0     0  con    0  1.0D+00  1.1D+00  1.322D-03  4.684D-01
  264  272     0     0  con    0  1.0D+00  5.0D-01  7.116D-04  4.682D-01
  265  273     0     0  con    0  1.0D+00  3.2D-01  2.672D-04  4.681D-01
  266  274     0     0  con    0  1.0D+00  2.4D-01  3.279D-04  4.681D-01
  267  275     0     0  con    0  1.0D+00  1.1D-01  5.012D-04  4.681D-01
  268  276     0     0  con    0  1.0D+00  2.9D-01  4.289D-04  4.680D-01
  269  277     0     0  con    0  1.0D+00  4.9D-01  3.985D-04  4.680D-01
  270  278     0     0  con    0  1.0D+00  6.3D-01  6.489D-04  4.680D-01
  271  279     0     0  con    0  1.0D+00  1.1D-01  3.315D-04  4.679D-01
  272  280     0     0  con    0  1.0D+00  4.6D-02  1.981D-04  4.679D-01
  273  281     0     0  con    0  1.0D+00  6.7D-02  2.740D-04  4.679D-01
  274  282     0     0  con    0  1.0D+00  9.4D-02  2.969D-04  4.679D-01
  275  283     0     0  con    0  1.0D+00  2.0D-01  6.009D-04  4.678D-01
  276  284     0     0  con    0  1.0D+00  3.3D-01  8.008D-04  4.678D-01
  277  285     0     0  con    0  1.0D+00  3.1D-01  7.045D-04  4.677D-01
  278  286     0     0  con    0  1.0D+00  4.1D-01  3.419D-04  4.676D-01
  279  287     0     0  con    0  1.0D+00  2.3D-01  3.454D-04  4.676D-01
  280  288     0     0  con    0  1.0D+00  3.3D-02  2.039D-04  4.676D-01
  281  289     0     0  con    0  1.0D+00  6.3D-02  2.377D-04  4.676D-01
  282  290     0     0  con    0  1.0D+00  1.1D-01  4.210D-04  4.675D-01
  283  291     0     0  con    0  1.0D+00  2.6D-01  6.503D-04  4.675D-01
  284  292     0     0  con    0  1.0D+00  6.0D-01  1.108D-03  4.674D-01
  285  293     0     0  con    0  1.0D+00  3.6D-01  9.185D-04  4.673D-01
  286  294     0     0  con    0  1.0D+00  2.6D-01  4.839D-04  4.671D-01
  287  295     0     0  con    0  1.0D+00  1.7D-01  2.487D-04  4.671D-01
  288  296     0     0  con    0  1.0D+00  8.4D-02  3.182D-04  4.671D-01
  289  297     0     0  con    0  1.0D+00  2.3D-02  2.775D-04  4.671D-01
  290  298     0     0  con    0  1.0D+00  9.2D-02  2.645D-04  4.671D-01
  291  299     0     0  con    0  1.0D+00  1.7D-01  3.027D-04  4.671D-01
  292  300     0     0  con    0  1.0D+00  3.0D-01  2.930D-04  4.670D-01
  293  302     0     0  con    1  4.0D-01  3.2D-01  4.970D-04  4.670D-01
  294  303     0     0  con    0  1.0D+00  4.1D-01  3.249D-04  4.670D-01
  295  304     0     0  con    0  1.0D+00  4.3D-01  1.880D-04  4.669D-01
  296  305     0     0  con    0  1.0D+00  2.7D-01  5.134D-04  4.669D-01
  297  306     0     0  con    0  1.0D+00  8.4D-02  4.040D-04  4.669D-01
  298  307     0     0  con    0  1.0D+00  1.2D-01  6.725D-04  4.668D-01
  299  308     0     0  con    0  1.0D+00  3.0D-01  1.008D-03  4.667D-01
  300  309     0     0  con    0  1.0D+00  7.2D-01  1.402D-03  4.666D-01
  301  310     0     0  con    0  1.0D+00  1.5D+00  1.751D-03  4.663D-01
  302  311     0     0  con    0  1.0D+00  2.0D+00  1.041D-03  4.660D-01
  303  312     0     0  con    0  1.0D+00  5.8D-01  4.215D-04  4.658D-01
  304  313     0     0  con    0  1.0D+00  4.1D-01  2.306D-04  4.658D-01
  305  314     0     0  con    0  1.0D+00  2.6D-01  2.406D-04  4.657D-01
  306  315     0     0  con    0  1.0D+00  1.8D-02  1.420D-04  4.657D-01
  307  316     0     0  con    0  1.0D+00  1.3D-01  1.769D-04  4.657D-01
  308  317     0     0  con    0  1.0D+00  2.1D-01  3.115D-04  4.657D-01
  309  318     0     0  con    0  1.0D+00  3.5D-01  5.359D-04  4.656D-01
  310  319     0     0  con    0  1.0D+00  8.3D-01  8.793D-04  4.655D-01
  311  320     0     0  con    0  1.0D+00  1.6D+00  1.365D-03  4.653D-01
  312  321     0     0  con    0  1.0D+00  7.4D-01  1.158D-03  4.650D-01
  313  322     0     0  con    0  1.0D+00  8.4D-01  6.467D-04  4.647D-01
  314  323     0     0  con    0  1.0D+00  3.4D-01  5.717D-04  4.646D-01
  315  324     0     0  con    0  1.0D+00  1.1D-01  3.601D-04  4.646D-01
  316  325     0     0  con    0  1.0D+00  5.7D-02  9.608D-05  4.646D-01
  317  326     0     0  con    0  1.0D+00  1.6D-02  9.692D-05  4.646D-01
  318  327     0     0  con    0  1.0D+00  3.4D-02  1.872D-04  4.646D-01
  319  328     0     0  con    0  1.0D+00  4.8D-02  2.759D-04  4.646D-01
  320  329     0     0  con    0  1.0D+00  1.5D-01  5.732D-04  4.645D-01
  321  330     0     0  con    0  1.0D+00  4.0D-01  1.006D-03  4.645D-01
  322  331     0     0  con    0  1.0D+00  4.6D-01  1.115D-03  4.643D-01
  323  332     0     0  con    0  1.0D+00  7.3D-01  8.446D-04  4.641D-01
  324  333     0     0  con    0  1.0D+00  9.1D-01  1.333D-03  4.640D-01
  325  334     0     0  con    0  1.0D+00  3.3D-02  5.588D-04  4.639D-01
  326  335     0     0  con    0  1.0D+00  1.1D-01  4.934D-04  4.639D-01
  327  336     0     0  con    0  1.0D+00  4.6D-01  5.304D-04  4.638D-01
  328  337     0     0  con    0  1.0D+00  4.7D-01  6.850D-04  4.637D-01
